name,3PtStat,collegeServicableShooter,age,height,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
Colby Jones,0.882750368,TRUE,20,78,2182,2.5,2.4,253,22.1,56.4,58,9,10,100,163,0.613,62,125,0.496,81,124,0.653,162,288,0.563,29.2,45,2.062328139,119,5.453712191,0.378,19,19.9,51.9,55.6,17,20,81,134,0.604,41,90,0.456,100,147,0.68,122,224,0.545,24.3,21,72,0.292,18,16.8,51.8,56.6,0,1,17,32,0.531,13,23,0.565,28,37,0.757,30,57,0.526,32.1,9,27,0.333,4.59,5.96,3.7,5.07,120.2,25
Keyontae Johnson,0.932524732,TRUE,22,78,2188,3.4,2.3,225,24.7,56.8,59.3,30,35,122,180,0.678,67,161,0.416,108,151,0.715,189,341,0.554,25.4,47,2.148080439,116,5.301645338,0.405,19,21.5,59.6,62.4,30,33,111,160,0.694,25,66,0.379,73,95,0.768,136,226,0.602,26.1,31,80,0.388,18,20.2,51.9,53.9,21,24,72,117,0.615,16,56,0.286,45,70,0.643,88,173,0.509,26.7,23,63,0.365,2.94,4.41,2.18,2.58,112.1,20.9
Ben Sheppard,1.328150154,TRUE,21,78,1864,2.7,2.1,126,26.8,56,58,6,7,90,148,0.608,42,109,0.385,86,124,0.694,132,257,0.514,42.5,79,4.238197425,190,10.19313305,0.416,20,22.2,58.9,61,17,18,98,145,0.676,16,38,0.421,80,110,0.727,114,183,0.623,50.8,70,189,0.37,19,18.3,56.6,57.6,11,11,58,82,0.707,12,29,0.414,26,39,0.667,68,107,0.636,51.6,38,114,0.333,3.05,3.04,2.68,2.72,110.9,9.3
Isaiah Wong,1.047926558,TRUE,21,76,2135,2.4,2.2,274,24,51.6,57.8,12,12,64,110,0.582,67,162,0.414,153,181,0.845,131,272,0.482,36.9,61,2.857142857,159,7.447306792,0.384,20,23.5,50.4,54,11,11,84,134,0.627,75,165,0.455,104,139,0.748,159,299,0.532,34.7,48,159,0.302,19,24.3,50,55,8,10,60,103,0.583,45,111,0.405,102,127,0.803,105,216,0.486,40,50,144,0.347,4.1,4.82,3.63,4.35,119.1,22.7
Jaime Jaquez Jr.,0.709516104,TRUE,21,79,2076,3.9,2.3,459,27.2,51.1,54.3,17,19,143,234,0.611,85,205,0.415,104,135,0.77,228,439,0.519,19.2,33,1.589595376,104,5.009633911,0.317,20,23.8,50,54.4,7,8,84,145,0.579,70,150,0.467,102,134,0.761,154,295,0.522,20.5,21,76,0.276,19,18.4,55,57.1,13,14,67,103,0.65,38,95,0.4,74,113,0.655,105,198,0.53,32.2,37,94,0.394,3.7,6.94,3.26,4.42,114.3,32.3
Marcus Sasser,1.425943529,TRUE,22,74,1813,1.4,1.3,481,24.9,54.9,59.8,6,6,54,84,0.643,40,100,0.4,128,151,0.848,95,185,0.514,57.5,96,5.295091009,250,13.7892995,0.384,20,20.5,49,52.1,0,0,25,43,0.581,31,77,0.403,52,61,0.852,56,120,0.467,66,78,233,0.335,19,20.5,49,52.1,0,0,25,43,0.581,31,77,0.403,52,61,0.852,56,120,0.467,66,78,233,0.335,5.14,6.95,3.96,4.7,119.9,34
Jalen Wilson,1.026464099,TRUE,22,80,2242,3.9,2.6,195,28.2,49,54,0,1,102,180,0.567,74,186,0.398,159,199,0.799,177,367,0.482,36.2,70,3.12221231,208,9.277430865,0.337,21,19.2,50.8,54.4,1,1,93,140,0.664,26,69,0.377,83,115,0.722,119,209,0.569,35.3,30,114,0.263,20,23.6,47.8,51,2,4,54,98,0.551,18,54,0.333,73,115,0.635,72,152,0.474,43.1,37,115,0.322,3.11,5.16,2.97,4.01,111.6,23.6
Seth Lundy,1.417298001,TRUE,22,78,1832,4.2,2.9,99,21.1,57.5,60.9,9,12,48,81,0.593,25,56,0.446,88,109,0.807,73,137,0.533,62.7,92,5.021834061,230,12.55458515,0.4,21,21.4,50,53.5,4,5,39,66,0.591,17,54,0.315,52,60,0.867,56,120,0.467,60.5,64,184,0.348,20,22,47.1,50.6,5,5,26,48,0.542,22,56,0.393,39,48,0.813,48,104,0.462,54,39,122,0.32,3.22,3.82,3.09,3.95,116.9,18
Toumani Camara,0.815596695,TRUE,22,80,1576,4.2,2.3,272,24.5,59,60.9,38,38,116,161,0.72,33,85,0.388,89,133,0.669,149,246,0.606,24.5,29,1.840101523,80,5.076142132,0.362,21,24.8,54.9,55.8,28,30,91,129,0.705,34,94,0.362,55,93,0.591,125,223,0.561,22.6,22,65,0.338,20,22.4,51.7,54.2,24,24,77,116,0.664,25,65,0.385,63,101,0.624,99,177,0.559,22.7,13,52,0.25,2.39,4.74,2.52,3.64,110.5,20.5
Trayce Jackson-Davis,0,FALSE,22,81,1879,5,1,114,30.1,58.2,60.9,74,80,213,322,0.661,49,128,0.383,146,210,0.695,262,450,0.582,0,0,0,0,0,0,21,26.2,58.9,61.3,86,94,202,291,0.694,44,127,0.346,147,218,0.674,246,415,0.593,0.7,0,3,0,20,29.3,51.7,55.8,52,0.945,146,233,0.627,37,121,0.306,150,229,0.655,183,354,0.517,0,0,0,0,4.44,6.42,4.41,6.15,113.9,20.7
Jalen Pickett,0.889276372,TRUE,23,76,2166,2.5,1,177,29.3,55.2,57.6,0,0,93,138,0.674,122,256,0.477,90,118,0.763,215,394,0.546,23,45,2.077562327,118,5.447830102,0.381,22,22.6,48.2,50.2,0,0,35,62,0.565,79,174,0.454,44,59,0.746,114,236,0.483,38.4,47,147,0.32,21,22.5,49.1,51.7,0,0,9,18,0.5,27,63,0.429,24,32,0.75,36,81,0.444,49.1,28,78,0.359,4.94,6.62,5.18,6.65,116.5,20
Jalen Slawson,0.896116527,TRUE,23,79,1772,4.1,1.6,247,24.7,59.8,64.1,43,45,104,146,0.712,29,73,0.397,127,164,0.774,133,219,0.607,30.5,37,2.088036117,96,5.417607223,0.385,22,26.5,53.4,57.6,24,27,87,126,0.69,44,99,0.444,96,120,0.8,131,225,0.582,36.6,39,130,0.3,21,19.2,60.4,63.3,11,13,37,59,0.627,13,22,0.591,50,72,0.694,50,81,0.617,29.6,13,34,0.382,3.5,5.13,2.81,3.89,114.6,15.8
Jordan Miller,0.712827931,TRUE,23,79,2219,3.2,2.5,255,20,58.5,61.6,18,18,139,203,0.685,47,106,0.443,98,125,0.784,186,309,0.602,22.8,32,1.442091032,91,4.100946372,0.352,22,15.9,59.7,61.3,18,21,115,161,0.714,13,36,0.361,48,68,0.706,128,197,0.65,24.8,19,65,0.292,21,24.2,51.2,54.7,5,5,59,87,0.678,31,89,0.348,52,67,0.776,90,176,0.511,28.5,24,70,0.343,4.44,4.71,3.95,4.48,120.1,22.1
Kobe Brown,1.151398086,TRUE,23,80,1749,4,1.6,214,23.5,62.5,65.5,35,36,113,164,0.689,30,75,0.4,99,125,0.792,143,239,0.598,31.9,51,2.915951973,112,6.403659234,0.455,22,23.5,49.8,55.4,10,10,85,129,0.659,42,102,0.412,97,121,0.802,127,231,0.55,22.2,14,66,0.212,21,20.8,51.7,52.5,9,9,47,65,0.723,18,43,0.419,31,57,0.544,65,108,0.602,37.2,16,64,0.25,4.44,5.3,4.27,4.67,118.8,19.3
Julian Strawther,1.253689886,TRUE,20,79,2035,3.7,3.4,314,20.6,56.6,60.2,7,7,59,95,0.621,48,109,0.44,103,130,0.792,108,205,0.527,48.8,79,3.882063882,195,9.582309582,0.405,19,17.6,59.6,61.4,6,8,55,82,0.671,26,42,0.619,55,77,0.714,81,124,0.653,54.4,54,148,0.365,19,17.6,59.6,61.4,6,8,55,82,0.671,26,42,0.619,55,77,0.714,81,124,0.653,54.4,54,148,0.365,3.86,4.72,3.45,4.58,121.3,26.3
Mouhamed Gueye,0.425093988,FALSE,20,83,1674,4.4,2.5,112,26.5,50.3,53.2,40,44,123,192,0.641,52,149,0.349,89,132,0.674,175,341,0.513,10.5,11,0.657108722,40,2.38948626,0.275,19,18.9,50.7,50.8,37,37,70,105,0.667,32,97,0.33,33,67,0.493,102,197,0.518,11.3,7,25,0.28,19,18.9,50.7,50.8,37,37,70,105,0.667,32,97,0.33,33,67,0.493,102,197,0.518,11.3,7,25,0.28,3.15,4.02,2.18,2.82,114.1,16.4
Olivier-Maxence Prosper,0.865319047,TRUE,20,80,1765,3.7,3.6,335,19.8,57.8,61.7,38,40,97,141,0.688,14,37,0.378,111,151,0.735,111,178,0.624,39.2,39,2.209631728,115,6.515580737,0.339,19,16.1,51.8,56.2,15,19,51,82,0.622,6,23,0.261,41,50,0.82,57,105,0.543,36.4,19,60,0.317,19,16.1,51.8,56.2,15,19,51,82,0.622,6,23,0.261,41,50,0.82,57,105,0.543,36.4,19,60,0.317,3.65,5.07,2.82,2.89,121.1,30.3
Andre Jackson Jr.,0.629219458,FALSE,21,78,1775,2.7,3,403,16.5,49.1,50.9,29,36,52,78,0.667,14,44,0.318,31,48,0.646,67,124,0.54,41.8,25,1.408450704,89,5.014084507,0.281,20,15.7,48.6,52.4,15,18,40,73,0.548,16,49,0.327,45,63,0.714,56,122,0.459,33.3,22,61,0.361,20,15.7,48.6,52.4,15,18,40,73,0.548,16,49,0.327,45,63,0.714,56,122,0.459,33.3,22,61,0.361,4.31,7.34,3.35,5.05,123.8,37.4
Hunter Tyson,1.292118131,TRUE,22,80,2014,4.1,2.8,217,19.2,59.5,63.1,18,19,60,83,0.723,29,71,0.408,93,111,0.838,89,154,0.578,57.1,83,4.121151936,205,10.17874876,0.405,21,19.9,53.1,56.7,9,9,39,60,0.65,25,58,0.431,44,56,0.786,64,118,0.542,39.2,26,76,0.342,21,19.9,53.1,56.7,9,9,39,60,0.65,25,58,0.431,44,56,0.786,64,118,0.542,39.2,26,76,0.342,3.36,4.76,3.01,3.84,111.9,17.8
Kris Murray,1.123980808,TRUE,22,80,1750,4.2,2.4,147,25.6,54.8,57.2,17,22,126,188,0.67,25,71,0.352,86,118,0.729,151,259,0.583,43.2,66,3.771428571,197,11.25714286,0.335,21,24.2,56.2,57.6,12,13,60,99,0.606,21,49,0.429,49,76,0.645,81,148,0.547,42.9,43,111,0.387,21,24.2,56.2,57.6,12,13,60,99,0.606,21,49,0.429,49,76,0.645,81,148,0.547,42.9,43,111,0.387,4.56,5.57,4.4,5.08,120.2,21.3
Amari Bailey,0.769218361,FALSE,18,77,1381,2.6,2.6,219,23.5,53.3,55.3,16,17,77,118,0.653,37,101,0.366,44,63,0.698,114,219,0.521,19.8,21,1.520637219,54,3.910209993,0.389,18,23.5,53.3,55.3,16,17,77,118,0.653,37,101,0.366,44,63,0.698,114,219,0.521,19.8,21,54,0.389,18,23.5,53.3,55.3,16,17,77,118,0.653,37,101,0.366,44,63,0.698,114,219,0.521,19.8,21,54,0.389,1.84,3.22,1.32,2.27,113.4,25.4
Anthony Black,0.620419,TRUE,19,79,2189,2,1.9,227,22.2,49.5,54.9,24,26,93,148,0.628,28,88,0.318,134,190,0.705,121,236,0.513,28.3,28,1.279122887,93,4.248515304,0.301,19,22.2,49.5,54.9,24,26,93,148,0.628,28,88,0.318,134,190,0.705,121,236,0.513,28.3,28,93,0.301,19,22.2,49.5,54.9,24,26,93,148,0.628,28,88,0.318,134,190,0.705,121,236,0.513,28.3,28,93,0.301,2.43,4.82,1.86,3.63,111.2,22.5
Brandin Podziemski,1.340625576,TRUE,19,77,1990,2.7,1,143,25.5,57.6,60.8,7,9,75,121,0.62,62,146,0.425,111,144,0.771,137,267,0.513,40.1,80,4.020100503,179,8.994974874,0.447,19,25.5,57.6,60.8,7,9,75,121,0.62,62,146,0.425,111,144,0.771,137,267,0.513,40.1,80,179,0.447,19,25.5,57.6,60.8,7,9,75,121,0.62,62,146,0.425,111,144,0.771,137,267,0.513,40.1,80,179,0.447,2.77,4.17,3.36,4.82,109,13
Brandon Miller,1.350931517,TRUE,20,81,2230,3.5,2.2,506,25,53.3,58.3,23,26,85,147,0.578,31,93,0.333,146,170,0.859,116,240,0.483,53.5,106,4.753363229,276,12.37668161,0.384,20,25,53.3,58.3,23,26,85,147,0.578,31,93,0.333,146,170,0.859,116,240,0.483,53.5,106,276,0.384,20,25,53.3,58.3,23,26,85,147,0.578,31,93,0.333,146,170,0.859,116,240,0.483,53.5,106,276,0.384,4.12,7.61,3.75,5.07,116.4,34.6
Brice Sensabaugh,1.328723242,TRUE,19,78,1375,3.9,1.3,95,32.1,55.5,58.8,9,10,52,90,0.578,85,172,0.494,83,100,0.83,137,261,0.525,36.2,60,4.363636364,148,10.76363636,0.405,19,32.1,55.5,58.8,9,10,52,90,0.578,85,172,0.494,83,100,0.83,137,261,0.525,36.2,60,148,0.405,19,32.1,55.5,58.8,9,10,52,90,0.578,85,172,0.494,83,100,0.83,137,261,0.525,36.2,60,148,0.405,2.63,3.41,3.21,3.84,112.9,16.2
Cam Whitmore,1.047042427,TRUE,18,79,1159,3.7,3,43,24.3,55.1,57.1,28,31,75,114,0.658,10,33,0.303,45,64,0.703,85,147,0.578,42.4,37,3.192407248,108,9.318377912,0.343,18,24.3,55.1,57.1,28,31,75,114,0.658,10,33,0.303,45,64,0.703,85,147,0.578,42.4,37,108,0.343,18,24.3,55.1,57.1,28,31,75,114,0.658,10,33,0.303,45,64,0.703,85,147,0.578,42.4,37,108,0.343,2.47,3.7,1.66,3.24,113.6,17.2
Cason Wallace,0.940185904,TRUE,19,76,1720,1.3,2,168,20.3,51.6,54.3,11,11,52,73,0.712,43,112,0.384,53,70,0.757,95,185,0.514,40.7,44,2.558139535,127,7.38372093,0.346,19,20.3,51.6,54.3,11,11,52,73,0.712,43,112,0.384,53,70,0.757,95,185,0.514,40.7,44,127,0.346,19,20.3,51.6,54.3,11,11,52,73,0.712,43,112,0.384,53,70,0.757,95,185,0.514,40.7,44,127,0.346,2.92,4.37,2.71,4.36,114.1,19.8
Chris Livingston,0.654818379,TRUE,19,78,1280,3.7,4.4,85,15.1,47.8,51.3,11,11,47,73,0.644,14,52,0.269,39,54,0.722,61,125,0.488,32.1,18,1.40625,59,4.609375,0.305,19,15.1,47.8,51.3,11,11,47,73,0.644,14,52,0.269,39,54,0.722,61,125,0.488,32.1,18,59,0.305,19,15.1,47.8,51.3,11,11,47,73,0.644,14,52,0.269,39,54,0.722,61,125,0.488,32.1,18,59,0.305,0.7,2.34,0.9,1.68,110.1,18
Dariq Whitehead,1.3706757,TRUE,18,78,960,2.4,3.3,55,20.3,52.8,54.8,2,4,24,45,0.533,17,54,0.315,23,29,0.793,41,99,0.414,49.7,42,4.375,98,10.20833333,0.429,18,20.3,52.8,54.8,2,4,24,45,0.533,17,54,0.315,23,29,0.793,41,99,0.414,49.7,42,98,0.429,18,20.3,52.8,54.8,2,4,24,45,0.533,17,54,0.315,23,29,0.793,41,99,0.414,49.7,42,98,0.429,1.15,2.57,1.6,2.62,107.5,15.4
Dereck Lively II,0.164886792,FALSE,18,85,1134,5,3.4,180,12.8,66.1,65.7,54,55,74,96,0.771,1,8,0.125,21,35,0.6,75,105,0.714,11,2,0.176366843,13,1.14638448,0.154,18,12.8,66.1,65.7,54,55,74,96,0.771,1,8,0.125,21,35,0.6,75,105,0.714,11,2,13,0.154,18,12.8,66.1,65.7,54,55,74,96,0.771,1,8,0.125,21,35,0.6,75,105,0.714,11,2,13,0.154,3.1,6.03,2.12,4.29,115.5,27.9
Emoni Bates,1.18390153,TRUE,19,82,1787,3.8,2.2,-236,29.9,48.4,52.8,10,11,57,101,0.564,60,146,0.411,115,147,0.782,117,247,0.474,48.2,76,4.252937885,230,12.87073307,0.33,19,29.9,48.4,52.8,10,11,57,101,0.564,60,146,0.411,115,147,0.782,117,247,0.474,48.2,76,230,0.33,19,29.9,48.4,52.8,10,11,57,101,0.564,60,146,0.411,115,147,0.782,117,247,0.474,48.2,76,230,0.33,1.06,0,0.09,0.06,101.3,-8.6
Gradey Dick,1.273162416,TRUE,19,80,2064,2.9,3,286,19.2,54.7,58.1,15,16,62,101,0.614,29,87,0.333,76,89,0.854,91,188,0.484,52.3,83,4.021317829,206,9.980620155,0.403,19,19.2,54.7,58.1,15,16,62,101,0.614,29,87,0.333,76,89,0.854,91,188,0.484,52.3,83,206,0.403,19,19.2,54.7,58.1,15,16,62,101,0.614,29,87,0.333,76,89,0.854,91,188,0.484,52.3,83,206,0.403,3.28,5.55,3,4.14,114.4,27.3
Gregory Jackson,1.02882305,TRUE,18,81,1686,4.2,3.1,-309,29.1,44.4,47.4,19,21,75,125,0.6,47,166,0.283,84,124,0.677,122,291,0.419,36.9,55,3.262158956,170,10.08303677,0.324,18,29.1,44.4,47.4,19,21,75,125,0.6,47,166,0.283,84,124,0.677,122,291,0.419,36.9,55,170,0.324,18,29.1,44.4,47.4,19,21,75,125,0.6,47,166,0.283,84,124,0.677,122,291,0.419,36.9,55,170,0.324,-0.71,-2,-0.77,-0.39,97.7,-10.2
Jalen Hood-Schifino,0.821473023,TRUE,19,78,1824,2,2.9,183,25.2,46.3,49.2,4,4,41,76,0.539,90,216,0.417,59,76,0.776,131,292,0.449,27.5,37,2.028508772,111,6.085526316,0.333,19,25.2,46.3,49.2,4,4,41,76,0.539,90,216,0.417,59,76,0.776,131,292,0.449,27.5,37,111,0.333,19,25.2,46.3,49.2,4,4,41,76,0.539,90,216,0.417,59,76,0.776,131,292,0.449,27.5,37,111,0.333,2.42,3.83,1.86,2.9,113.8,21
Jarace Walker,0.86669589,TRUE,19,80,1619,4.1,3.2,391,22,51.5,53.3,31,32,70,101,0.693,53,138,0.384,53,80,0.662,122,238,0.513,29.8,35,2.161828289,101,6.238418777,0.347,19,22,51.5,53.3,31,32,70,101,0.693,53,138,0.384,53,80,0.662,122,238,0.513,29.8,35,101,0.347,19,22,51.5,53.3,31,32,70,101,0.693,53,138,0.384,53,80,0.662,122,238,0.513,29.8,35,101,0.347,3.46,5.85,2.87,4.47,118.3,32.5
Jaylen Clark,0.747590421,TRUE,21,77,1530,2.9,2.9,389,21.4,52.1,54.9,17,19,90,135,0.667,32,95,0.337,67,96,0.698,122,230,0.53,25.6,26,1.699346405,79,5.163398693,0.329,21,21.4,52.1,54.9,17,19,90,135,0.667,32,95,0.337,67,96,0.698,122,230,0.53,25.6,26,79,0.329,21,21.4,52.1,54.9,17,19,90,135,0.667,32,95,0.337,67,96,0.698,122,230,0.53,25.6,26,79,0.329,3.27,7.34,2.91,4.91,116.3,35.8
Jett Howard,1.352277814,TRUE,19,80,1570,2.3,2.4,47,21.8,53.2,56.2,6,6,29,47,0.617,30,72,0.417,60,75,0.8,59,119,0.496,64,78,4.968152866,212,13.50318471,0.368,19,21.8,53.2,56.2,6,6,29,47,0.617,30,72,0.417,60,75,0.8,59,119,0.496,64,78,212,0.368,19,21.8,53.2,56.2,6,6,29,47,0.617,30,72,0.417,60,75,0.8,59,119,0.496,64,78,212,0.368,1.27,1.61,2.19,2.6,108.3,12.7
Jordan Hawkins,1.512164441,TRUE,20,77,1850,3,2.9,361,22.7,53.1,58.4,9,12,47,86,0.547,23,73,0.315,125,141,0.887,73,164,0.445,63.1,109,5.891891892,281,15.18918919,0.388,20,22.7,53.1,58.4,9,12,47,86,0.547,23,73,0.315,125,141,0.887,73,164,0.445,63.1,109,281,0.388,20,22.7,53.1,58.4,9,12,47,86,0.547,23,73,0.315,125,141,0.887,73,164,0.445,63.1,109,281,0.388,4.83,5.93,4.35,4.85,121.9,32.5
Jordan Walsh,0.604054498,FALSE,18,79,1525,3.3,4.2,199,15.8,47.9,51.3,17,22,56,90,0.622,18,54,0.333,47,66,0.712,74,145,0.51,33.2,20,1.31147541,72,4.721311475,0.278,18,15.8,47.9,51.3,17,22,56,90,0.622,18,54,0.333,47,66,0.712,74,145,0.51,33.2,20,72,0.278,18,15.8,47.9,51.3,17,22,56,90,0.622,18,54,0.333,47,66,0.712,74,145,0.51,33.2,20,72,0.278,2.85,5.11,1.27,2.67,114.4,26.1
Julian Phillips,0.450619186,FALSE,19,80,1294,3.7,3.4,326,19.5,44,53.6,13,16,53,90,0.589,15,56,0.268,97,118,0.822,68,146,0.466,24,11,0.85007728,46,3.554868624,0.239,19,19.5,44,53.6,13,16,53,90,0.589,15,56,0.268,97,118,0.822,68,146,0.466,24,11,46,0.239,19,19.5,44,53.6,13,16,53,90,0.589,15,56,0.268,97,118,0.822,68,146,0.466,24,11,46,0.239,1.2,6.13,1.83,2.54,108.1,35.2
Keyonte George,1.270376229,TRUE,19,76,1614,2.4,2.4,167,29.8,47,52.4,3,4,38,65,0.585,40,119,0.336,119,150,0.793,78,184,0.424,55.3,77,4.770755886,228,14.12639405,0.338,19,29.8,47,52.4,3,4,38,65,0.585,40,119,0.336,119,150,0.793,78,184,0.424,55.3,77,228,0.338,19,29.8,47,52.4,3,4,38,65,0.585,40,119,0.336,119,150,0.793,78,184,0.424,55.3,77,228,0.338,3.15,4.68,3.58,4.52,115.7,20.9
Kobe Bufkin,0.897286329,TRUE,19,76,1894,2,2,183,21.6,54.2,57.8,12,13,86,125,0.688,44,113,0.389,73,86,0.849,130,238,0.546,33.7,43,2.27032735,121,6.388595565,0.355,19,21.6,54.2,57.8,12,13,86,125,0.688,44,113,0.389,73,86,0.849,130,238,0.546,33.7,43,121,0.355,19,21.6,54.2,57.8,12,13,86,125,0.688,44,113,0.389,73,86,0.849,130,238,0.546,33.7,43,121,0.355,2.65,4.83,1.95,3.4,112.2,20.6
Maxwell Lewis,0.862967035,TRUE,20,79,1702,3.3,1.9,-126,27.8,50.3,54.8,21,23,85,139,0.612,46,118,0.39,102,130,0.785,131,257,0.51,31.8,39,2.291421857,120,7.05052879,0.325,20,27.8,50.3,54.8,21,23,85,139,0.612,46,118,0.39,102,130,0.785,131,257,0.51,31.8,39,120,0.325,20,27.8,50.3,54.8,21,23,85,139,0.612,46,118,0.39,102,130,0.785,131,257,0.51,31.8,39,120,0.325,0.62,1,0.74,1.46,103.3,0.3
Noah Clowney,0.764353234,FALSE,18,82,1645,4.6,3.7,279,17.8,55.3,57.6,27,30,77,108,0.713,12,25,0.48,72,111,0.649,89,133,0.669,47.4,34,2.066869301,120,7.294832827,0.283,18,17.8,55.3,57.6,27,30,77,108,0.713,12,25,0.48,72,111,0.649,89,133,0.669,47.4,34,120,0.283,18,17.8,55.3,57.6,27,30,77,108,0.713,12,25,0.48,72,111,0.649,89,133,0.669,47.4,34,120,0.283,1.56,4.76,2.21,3.81,113.6,31.5
Taylor Hendricks,1.111678215,TRUE,19,81,1947,4.4,2.7,222,20.4,55.7,58.9,36,37,88,136,0.647,35,94,0.372,86,110,0.782,123,230,0.535,40.3,61,3.133025167,155,7.960965588,0.394,19,20.4,55.7,58.9,36,37,88,136,0.647,35,94,0.372,86,110,0.782,123,230,0.535,40.3,61,155,0.394,19,20.4,55.7,58.9,36,37,88,136,0.647,35,94,0.372,86,110,0.782,123,230,0.535,40.3,61,155,0.394,2.41,4.82,2.47,3.14,108.4,18.9
